sampleID, sampleSize, threadCount, runTime
url_4,50,47,0.8914005756378174
url_4,50,48,0.6145963668823242
url_4,50,49,0.6420464515686035
url_4,50,50,0.6189346313476562
url_5,50,1,4.360715389251709
url_5,50,2,1.9551823139190674
url_5,50,3,1.736285924911499
url_5,50,4,1.2005882263183594
url_5,50,5,0.9926292896270752
url_5,50,6,0.7736814022064209
url_5,50,7,1.0425794124603271
url_5,50,8,0.8327369689941406
url_5,50,9,2.0821123123168945
url_5,50,10,0.689246416091919
url_5,50,11,0.6518328189849854
url_5,50,12,0.8456301689147949
url_5,50,13,0.7241904735565186
url_5,50,14,0.6817312240600586
url_5,50,15,0.5269196033477783
url_5,50,16,0.566356897354126
url_5,50,17,0.5223472118377686
url_5,50,18,0.5506277084350586
url_5,50,19,0.5336191654205322
url_5,50,20,6.459429740905762
url_5,50,21,2.492971658706665
url_5,50,22,21.370388984680176
url_5,50,23,0.8650546073913574
url_5,50,24,0.6195886135101318
url_5,50,25,0.49788618087768555
url_5,50,26,0.5313050746917725
url_5,50,27,0.4807150363922119
url_5,50,28,0.46990966796875
url_5,50,29,0.44138526916503906
url_5,50,30,0.4799320697784424
url_5,50,31,0.6501905918121338
url_5,50,32,1.3056676387786865
url_5,50,33,0.43622493743896484
url_5,50,34,0.4659736156463623
url_5,50,35,0.5204911231994629
url_5,50,36,0.5444676876068115
url_5,50,37,0.5496902465820312
url_5,50,38,0.5510494709014893
url_5,50,39,0.6914701461791992
url_5,50,40,0.6254968643188477
url_5,50,41,0.48339128494262695
url_5,50,42,0.3644533157348633
url_5,50,43,0.47219300270080566
url_5,50,44,0.47486186027526855
url_5,50,45,0.48602747917175293
url_5,50,46,0.5536465644836426
url_5,50,47,0.5172650814056396
url_5,50,48,0.5189089775085449
url_5,50,49,0.7137341499328613
url_5,50,50,0.49346184730529785
url_6,50,1,5.258803606033325
url_6,50,2,2.397385358810425
url_6,50,3,1.6038763523101807
url_6,50,4,1.0679233074188232
url_6,50,5,1.2866075038909912
